consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
286,018037,2,0,2,1,55,0,0,1,1,2,2.00,6754.63,0.00,5917.17,0.00,837.46,1,8526.16,4263.08,1,0,1.00,1.00,9.05
287,018038,1,0,3,1,24,0,0,2,1,3,3.00,3010.48,2997.92,0.00,0.00,0.00,1,4362.20,1454.07,0,0,1.00,1.00,8.38
288,018040,2,0,5,1,29,1,0,2,2,5,2.50,2807.54,2418.80,263.65,0.00,125.09,1,3311.65,662.33,1,0,1.00,0.00,8.11
289,018041,3,0,8,2,39,3,0,0,2,8,4.00,1428.67,330.58,0.00,0.00,1098.09,1,1630.31,203.79,0,0,1.00,1.00,7.40
290,018042,2,0,1,1,64,0,0,0,3,2,0.67,1660.66,0.00,691.31,0.00,969.35,1,2557.37,1278.69,1,0,0.00,0.00,7.85
291,018043,1,0,2,1,54,0,0,0,2,2,1.00,1046.44,661.16,0.00,0.00,385.28,1,1550.55,775.27,1,0,0.00,0.00,7.35
292,018044,5,3,8,3,43,1,0,0,4,8,2.00,5066.76,3698.88,0.00,0.00,1367.88,1,5369.23,671.15,1,0,0.00,1.00,8.59
293,018045,1,0,3,1,23,0,0,2,2,3,1.50,4996.53,4996.53,0.00,0.00,0.00,1,5198.18,1732.73,1,0,1.00,1.00,8.56
294,019001,0,0,0,1,48,0,0,1,3,3,1.00,6446.53,5995.84,450.69,0.00,0.00,0,7454.75,2484.92,0,1,1.00,1.00,8.92
295,019002,1,1,3,5,60,0,0,0,3,7,2.33,21379.25,20186.34,1192.91,0.00,0.00,0,23395.68,3342.24,1,1,1.00,1.00,10.06
296,019003,0,0,0,0,72,0,0,0,1,1,1.00,10079.45,0.00,0.00,0.00,10079.45,0,14616.43,14616.43,0,1,1.00,1.00,9.59
297,019004,0,0,0,2,53,0,0,0,2,2,1.00,27331.21,16988.21,150.07,0.00,10192.93,0,30355.86,15177.93,1,1,1.00,1.00,10.32
298,019005,0,0,0,2,25,0,0,0,2,4,2.00,8594.04,7195.01,0.00,0.00,1399.03,0,11114.58,2778.65,1,1,1.00,1.00,9.32
299,019006,0,0,0,2,26,0,0,0,1,2,2.00,10704.28,10592.65,0.00,0.00,0.00,0,11914.14,5957.07,0,1,1.00,1.00,9.39
300,019007,0,1,0,1,70,0,0,2,2,3,1.50,8881.33,8825.51,0.00,0.00,0.00,0,11905.98,3968.66,1,1,1.00,1.00,9.38
301,019008,0,1,5,1,34,2,0,4,3,5,1.67,3997.23,3997.23,0.00,0.00,0.00,0,7021.88,1404.38,1,1,1.00,1.00,8.86
302,019009,0,2,2,0,71,0,0,1,2,3,1.50,2965.55,0.00,0.00,0.00,2965.55,0,11031.28,3677.09,1,1,0.00,1.00,9.31
