consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
1014,036018,0,1,2,2,44,0,0,1,3,4,1.33,18011.24,17987.52,0.00,0.00,0.00,0,21520.82,5380.20,1,1,1.00,1.00,9.98
1015,036019,0,0,0,2,32,0,0,0,2,2,1.00,11848.95,11821.04,0.00,0.00,0.00,0,13854.42,6927.21,1,1,1.00,1.00,9.54
1016,036020,0,0,0,4,46,0,0,0,3,4,1.33,36190.98,36190.98,0.00,0.00,0.00,0,39700.56,9925.14,1,1,1.00,1.00,10.59
1017,036021,0,0,0,2,52,0,0,1,3,3,1.00,25937.84,15654.03,0.00,1248.19,8993.76,0,29948.79,9982.93,1,1,1.00,1.00,10.31
1018,036022,0,0,0,1,34,2,0,3,2,4,2.00,23615.73,23545.96,0.00,0.00,0.00,0,27626.67,6906.67,1,1,1.00,1.00,10.23
1019,036023,0,0,0,1,39,0,0,3,2,4,2.00,10865.80,10816.97,0.00,0.00,0.00,0,13908.71,3477.18,1,1,1.00,1.00,9.54
1020,036027,3,5,5,2,56,2,0,1,2,8,4.00,17097.96,12511.39,4586.57,0.00,0.00,0,19604.80,2450.60,0,1,1.00,1.00,9.88
1021,036028,0,1,1,1,30,0,0,0,1,1,1.00,7826.45,5505.29,2321.17,0.00,0.00,0,8829.19,8829.19,1,1,0.00,0.00,9.09
1022,036029,3,2,8,2,67,4,0,1,4,8,2.00,10214.34,5821.48,3411.13,0.00,951.03,0,12019.27,1502.41,1,1,1.00,1.00,9.39
1023,036030,0,0,0,2,40,1,0,1,3,4,1.33,40642.65,40642.65,0.00,0.00,0.00,0,44653.60,11163.40,1,1,1.00,1.00,10.71
1024,036031,0,0,0,1,43,0,0,0,1,2,2.00,6088.46,2897.64,2505.34,0.00,650.59,1,7091.19,3545.60,1,0,1.00,0.00,8.87
1025,036032,0,0,1,1,34,0,0,0,1,1,1.00,12237.62,12237.62,0.00,0.00,0.00,1,8423.86,8423.86,1,0,1.00,1.00,9.04
1026,036033,0,0,1,2,43,0,0,0,2,4,2.00,9312.58,9162.42,0.00,0.00,150.16,1,10816.69,2704.17,1,0,1.00,1.00,9.29
1027,036034,1,2,2,3,51,0,0,0,2,4,2.00,14015.27,13078.32,936.94,0.00,0.00,1,19028.95,4757.24,1,0,1.00,1.00,9.85
1028,036035,1,2,1,1,83,0,0,0,4,4,1.00,9342.70,6122.27,0.00,0.00,3220.43,1,15359.12,3839.78,1,0,1.00,1.00,9.64
1029,036036,0,1,4,1,22,0,0,3,2,4,2.00,920.92,0.00,0.00,0.00,920.92,1,2926.39,731.60,1,0,1.00,1.00,7.98
1030,036037,0,3,4,3,34,1,0,1,2,4,2.00,200.20,0.00,50.04,0.00,150.16,1,1708.01,427.00,0,0,1.00,0.00,7.44
1031,036038,0,0,3,1,24,1,0,2,4,6,1.50,3338.11,3338.11,0.00,0.00,0.00,1,3338.11,1112.70,1,0,1.00,0.00,8.11
1032,036038,0,3,3,1,47,1,0,2,4,6,1.50,10009.11,0.00,0.00,10009.11,0.00,1,11814.04,3938.01,1,0,1.00,0.00,9.38
1033,036039,1,1,2,1,68,0,0,1,3,3,1.00,3303.19,0.00,1501.09,0.00,1802.10,1,4807.29,1602.43,1,0,1.00,1.00,8.48
1034,036040,1,0,0,0,72,0,0,0,1,1,1.00,700.73,0.00,0.00,0.00,700.73,1,2706.20,2706.20,1,0,1.00,1.00,7.90
1035,036041,0,0,4,1,37,1,0,1,3,4,1.33,5760.14,0.00,5640.01,0.00,120.13,1,7264.24,1816.06,0,0,1.00,0.00,8.89
1036,036044,1,1,1,1,50,0,0,0,2,1,0.50,2736.23,2736.23,0.00,0.00,0.00,1,3781.66,3781.66,0,0,1.00,0.00,8.24
1037,036046,0,0,1,1,49,2,0,1,3,5,1.67,4520.07,4404.01,0.00,0.00,116.06,1,3013.31,602.66,1,0,1.00,1.00,8.01
1038,037001,1,0,0,1,49,0,0,1,2,3,1.50,6041.04,0.00,1554.11,0.00,4486.93,0,7043.77,2347.92,1,1,1.00,0.00,8.86
1039,037002,0,0,3,1,27,1,0,2,1,3,3.00,4003.64,4003.64,0.00,0.00,0.00,0,5006.38,1668.79,0,1,1.00,1.00,8.52
1040,037003,1,0,0,1,26,0,0,2,1,3,3.00,6807.60,6807.60,0.00,0.00,0.00,0,8612.53,2870.84,0,1,1.00,1.00,9.06
1041,037004,2,0,4,0,76,1,0,1,3,4,1.33,4173.59,0.00,0.00,4173.59,0.00,0,5677.70,1419.42,1,1,1.00,1.00,8.64
1042,037005,0,0,1,1,40,1,0,3,2,4,2.00,7538.11,0.00,7538.11,0.00,0.00,0,9944.13,2486.03,1,1,1.00,1.00,9.20
1043,037006,2,0,5,2,44,0,0,2,2,5,2.50,4504.10,0.00,0.00,4504.10,0.00,1,5105.39,1021.08,1,0,1.00,1.00,8.54
1044,037007,1,0,4,2,34,1,0,0,2,4,2.00,4951.07,4003.64,316.96,0.00,630.46,1,6329.05,1582.26,1,0,1.00,1.00,8.75
1045,037008,0,0,4,1,44,1,0,0,2,4,2.00,7854.31,3813.34,3340.45,0.00,700.51,1,9057.60,2264.40,1,0,1.00,1.00,9.11
1046,037009,0,2,5,2,40,2,0,0,2,5,2.50,4563.04,0.00,0.00,3920.07,642.97,1,3457.77,691.55,1,0,1.00,1.00,8.15
1047,037010,0,0,1,1,46,0,0,0,1,1,1.00,8176.26,0.00,4008.55,4167.72,0.00,1,8175.38,8175.38,1,0,1.00,1.00,9.01
1048,037011,2,0,2,1,68,0,0,0,2,2,1.00,4607.71,0.00,2806.07,0.00,1801.64,1,5409.90,2704.95,1,0,1.00,1.00,8.60
1049,037012,0,0,3,0,39,1,0,2,2,3,1.50,2151.38,0.00,99.48,0.00,2051.91,1,3354.67,1118.22,0,0,1.00,1.00,8.12
1050,037013,2,0,1,1,71,0,0,0,2,3,1.50,4807.41,3670.92,602.78,0.00,533.70,1,6151.65,2050.55,1,0,1.00,1.00,8.72
1051,037015,0,2,2,1,48,1,0,1,1,2,2.00,15819.13,0.00,15819.13,0.00,0.00,1,18369.78,9184.89,1,0,1.00,1.00,9.82
1052,037016,0,2,2,2,54,0,0,1,2,4,2.00,8891.74,8808.02,0.00,0.00,0.00,1,10495.90,2623.98,1,0,1.00,1.00,9.26
1053,037017,0,0,0,0,61,0,0,1,1,2,2.00,11192.23,0.00,0.00,0.00,11192.23,1,12696.34,6348.17,1,0,1.00,1.00,9.45
1054,037018,0,0,0,1,35,0,0,0,1,1,1.00,10509.57,10509.57,0.00,0.00,0.00,1,12526.63,12526.63,1,0,1.00,1.00,9.44
1055,037019,1,0,0,0,80,0,0,0,1,1,1.00,1801.64,0.00,0.00,0.00,1801.64,1,3305.75,3305.75,1,0,0.00,1.00,8.10
1056,037020,0,3,3,2,68,1,0,1,3,7,2.33,20491.52,13145.80,3903.55,0.00,3403.10,0,22496.99,3213.86,1,1,1.00,1.00,10.02
1057,037022,2,2,3,2,52,1,0,0,1,4,4.00,5491.46,4064.09,626.65,0.00,800.73,0,6494.20,1623.55,1,1,1.00,0.00,8.78
1058,037023,2,0,0,0,88,0,0,0,1,2,2.00,2502.19,0.00,0.00,0.00,2502.19,0,4507.66,2253.83,1,1,1.00,1.00,8.41
1059,037024,0,0,1,1,50,0,0,0,1,1,1.00,2702.46,2702.46,0.00,0.00,0.00,0,4206.57,4206.57,1,1,1.00,1.00,8.34
1060,037026,0,1,0,1,69,0,0,0,4,2,0.50,86746.58,66060.14,0.00,20686.44,0.00,0,75702.32,37851.16,1,1,1.00,1.00,11.23
1061,037028,1,0,2,0,80,0,0,1,2,3,1.50,18616.95,0.00,0.00,0.00,18616.95,0,20121.06,6707.02,1,1,0.00,0.00,9.91
1062,037029,0,0,2,2,58,0,0,0,2,3,1.50,9940.68,9332.50,0.00,0.00,600.55,0,11243.61,3747.87,1,1,1.00,0.00,9.33
1063,037031,0,0,2,2,43,0,0,0,2,2,1.00,2658.32,2199.02,459.30,0.00,0.00,0,3861.60,1930.80,1,1,1.00,1.00,8.26
1064,037032,1,0,4,3,51,0,0,1,3,4,1.33,11424.45,2916.70,0.00,8507.75,0.00,0,14934.03,3733.51,1,1,1.00,1.00,9.61
1065,037034,0,0,1,1,28,0,0,0,3,1,0.33,6521.90,6005.47,502.48,0.00,0.00,0,8828.01,8828.01,0,1,1.00,1.00,9.09
1066,038001,1,0,1,1,54,1,0,0,1,3,3.00,3331.73,2398.34,0.00,0.00,933.40,0,4138.31,1379.44,1,1,1.00,0.00,8.33
1067,038002,1,0,0,1,87,0,0,0,2,2,1.00,4496.88,2398.34,0.00,0.00,2098.54,0,5505.10,2752.55,0,1,1.00,1.00,8.61
1068,038003,2,0,3,2,58,0,0,1,2,3,1.50,3955.22,0.00,3955.22,0.00,0.00,0,4963.43,1654.48,1,1,1.00,0.00,8.51
1069,038004,2,0,0,1,65,0,0,3,2,4,2.00,5088.82,925.62,0.00,0.00,4163.20,0,6298.68,1574.67,1,1,1.00,0.00,8.75
1070,038005,0,0,0,2,22,0,0,1,3,3,1.00,10407.21,10407.21,0.00,0.00,0.00,0,11617.07,3872.36,0,1,1.00,1.00,9.36
1071,038006,0,0,4,1,51,0,0,3,2,4,2.00,4494.76,0.00,0.00,4494.76,0.00,1,5502.98,1375.74,1,0,1.00,1.00,8.61
1072,038007,0,0,4,1,26,2,0,3,2,4,2.00,1362.10,879.03,483.07,0.00,0.00,1,2370.32,592.58,0,0,1.00,1.00,7.77
1073,038008,0,1,5,1,35,1,0,4,2,5,2.50,2419.86,2419.86,0.00,0.00,0.00,1,2923.97,584.79,0,0,1.00,1.00,7.98
1074,038009,1,0,1,2,66,0,0,1,3,5,1.67,2155.89,1298.77,857.12,0.00,0.00,1,4172.32,1043.08,1,0,1.00,1.00,8.34
1075,038010,0,0,0,2,46,0,0,1,2,5,2.50,12134.76,8978.61,663.19,2492.95,0.00,1,8861.21,1772.24,1,0,1.00,1.00,9.09
1076,038011,1,4,5,1,75,2,0,1,2,7,3.50,6493.76,0.00,0.00,2996.90,3496.86,1,7703.62,1100.52,1,0,1.00,1.00,8.95
1077,038013,0,1,1,1,51,0,0,0,1,1,1.00,1199.17,0.00,0.00,1199.17,0.00,1,2207.38,2207.38,1,0,1.00,1.00,7.70
1078,038014,2,0,1,0,73,0,0,0,2,2,1.00,1493.81,0.00,0.00,0.00,1493.81,1,2502.03,1251.02,1,0,1.00,1.00,7.82
1079,038015,0,0,0,1,57,0,0,1,1,2,2.00,7023.05,6995.15,0.00,0.00,0.00,1,10456.82,5228.41,1,0,1.00,1.00,9.26
1080,038016,2,1,1,3,65,0,0,0,3,3,1.00,15869.01,0.00,5875.94,1998.61,7994.45,1,18893.66,6297.89,1,0,0.00,1.00,9.85
1081,038018,1,0,0,0,64,0,0,0,1,1,1.00,1798.75,0.00,0.00,0.00,1798.75,1,3311.08,3311.08,1,0,0.00,1.00,8.11
1082,038019,1,0,0,2,39,2,0,0,3,5,1.67,10693.38,10143.48,0.00,0.00,549.89,1,10373.36,2074.67,1,0,1.00,1.00,9.25
1083,038020,0,0,1,2,57,0,0,0,3,3,1.00,11052.17,3825.50,0.00,0.00,7226.67,0,15085.04,5028.35,1,1,1.00,1.00,9.62
1084,038021,3,3,4,3,50,0,0,0,1,4,4.00,6056.17,2113.78,2907.57,0.00,1034.82,0,7568.49,1892.12,1,1,1.00,0.00,8.93
1085,038022,0,0,1,3,60,0,0,1,3,5,1.67,20613.62,15589.18,0.00,0.00,4996.53,0,23638.27,4727.65,1,1,1.00,1.00,10.07
1086,038023,2,0,3,1,28,0,0,2,1,3,3.00,4656.11,2657.50,0.00,0.00,1998.61,0,5462.83,1820.94,0,1,1.00,0.00,8.61
1087,038024,0,0,2,1,47,0,0,1,3,5,1.67,22964.40,19863.22,1602.22,0.00,1498.96,0,24981.21,4996.24,1,1,1.00,1.00,10.13
1088,038025,0,2,1,2,23,0,0,1,2,4,2.00,20555.78,18814.08,1657.98,0.00,0.00,0,20555.78,5138.94,1,1,1.00,1.00,9.93
1089,038026,0,2,2,1,42,0,0,0,1,2,2.00,7307.69,296.60,7011.09,0.00,0.00,0,6339.58,3169.79,1,1,1.00,0.00,8.75
1090,038027,1,7,7,0,86,6,0,2,3,10,3.33,7438.49,0.00,0.00,0.00,7438.49,0,8950.82,895.08,1,1,1.00,0.00,9.10
1091,038028,0,0,0,3,52,0,0,1,4,4,1.00,50992.54,38972.96,11991.68,0.00,0.00,0,55025.41,13756.35,1,1,1.00,1.00,10.92
1092,038029,0,0,0,1,61,1,0,0,1,4,4.00,7086.97,2997.92,0.00,0.00,4047.19,0,8095.19,2023.80,1,1,1.00,0.00,9.00
1093,038030,0,0,0,1,39,0,0,0,2,3,1.50,15078.08,11080.85,0.00,0.00,3997.23,0,17195.41,5731.80,1,1,1.00,1.00,9.75
1094,038031,0,0,0,2,42,1,0,0,2,4,2.00,13282.03,11557.45,662.49,0.00,1048.14,0,15802.57,3950.64,1,1,1.00,1.00,9.67
1095,038032,0,1,0,2,46,1,0,1,2,4,2.00,10192.93,10192.93,0.00,0.00,0.00,0,11705.25,2926.31,1,1,1.00,1.00,9.37
1096,038033,0,5,5,2,47,1,0,1,3,8,2.67,12826.51,6828.33,1503.71,0.00,4494.47,0,15347.05,1918.38,1,1,1.00,1.00,9.64
1097,038034,1,0,0,2,41,0,0,2,3,6,2.00,12164.79,7830.79,0.00,4334.00,0.00,0,14181.23,2363.54,1,1,1.00,1.00,9.56
1098,039001,1,1,1,0,54,0,0,0,1,1,1.00,899.33,0.00,449.66,0.00,449.66,1,1907.54,1907.54,1,0,0.00,0.00,7.55
1099,039002,0,0,0,2,55,0,0,0,2,2,1.00,6395.56,6395.56,0.00,0.00,0.00,1,7404.53,3702.26,1,0,0.00,1.00,8.91
1100,039003,0,0,0,1,54,0,0,1,1,2,2.00,4796.67,4796.67,0.00,0.00,0.00,1,5804.89,2902.44,1,0,0.00,1.00,8.67
1101,039004,0,1,1,1,47,0,0,0,1,1,1.00,2582.49,2582.49,0.00,0.00,0.00,1,3590.70,3590.70,0,0,0.00,1.00,8.19
1102,039005,0,0,0,2,31,2,0,2,3,6,2.00,16069.54,15776.52,0.00,0.00,0.00,1,18299.77,3049.96,1,0,1.00,1.00,9.81
1103,039006,0,1,1,1,52,0,0,0,2,2,1.00,19978.63,3663.53,1243.11,0.00,15071.99,0,17965.95,8982.97,1,1,1.00,1.00,9.80
1104,039007,1,0,0,0,83,0,0,0,1,1,1.00,1612.88,0.00,0.00,0.00,1612.88,0,3125.21,3125.21,1,1,1.00,1.00,8.05
1105,039008,0,0,0,1,38,1,0,1,3,5,1.67,10522.65,10322.63,0.00,0.00,200.02,0,13749.39,2749.88,1,1,1.00,1.00,9.53
1106,039009,1,1,3,1,27,1,0,2,1,3,3.00,7302.28,6977.15,297.21,0.00,0.00,0,7302.28,2434.09,1,1,1.00,1.00,8.90
1107,039010,2,0,1,1,86,0,0,1,2,3,1.50,6162.22,5995.84,0.00,0.00,166.38,0,7674.54,2558.18,1,1,1.00,1.00,8.95
1108,039011,0,0,0,0,87,0,0,1,2,2,1.00,13990.29,0.00,0.00,0.00,13990.29,0,18527.27,9263.63,1,1,1.00,1.00,9.83
1109,039012,0,0,0,1,33,0,0,1,1,2,2.00,7158.68,7158.68,0.00,0.00,0.00,0,7965.84,3982.92,0,1,0.00,0.00,8.98
1110,039013,0,0,0,0,62,0,0,0,1,2,2.00,51297.22,0.00,0.00,0.00,51297.22,0,58354.73,29177.37,1,1,1.00,1.00,10.97
1111,039014,0,2,5,2,52,1,0,2,4,5,1.25,34640.86,0.00,4661.66,29979.20,0.00,0,44723.03,8944.61,1,1,1.00,1.00,10.71
1112,039015,0,0,0,4,45,1,0,1,4,7,1.75,106154.66,30978.51,666.67,70956.10,3497.57,0,116421.11,16631.59,1,1,1.00,1.00,11.66
1113,039016,0,0,3,1,65,1,0,2,2,5,2.50,10039.49,3344.13,0.00,0.00,6695.35,0,13064.14,2612.83,1,1,1.00,0.00,9.48
1114,039017,2,1,1,0,72,0,0,2,2,3,1.50,4996.53,0.00,0.00,0.00,4996.53,0,8021.18,2673.73,1,1,1.00,1.00,8.99
1115,039018,1,0,0,0,65,0,0,1,3,2,0.67,8993.76,0.00,0.00,1498.96,7494.80,0,11514.30,5757.15,1,1,1.00,1.00,9.35
1116,039019,0,0,1,1,36,0,0,1,2,3,1.50,14755.93,0.00,14755.93,0.00,0.00,0,19915.54,6638.51,1,1,1.00,1.00,9.90
1117,039020,0,0,1,1,49,0,0,0,2,1,0.50,12156.97,12156.97,0.00,0.00,0.00,0,6361.26,6361.26,1,1,1.00,1.00,8.76
1118,039022,0,1,0,1,48,0,0,1,1,2,2.00,7195.01,7195.01,0.00,0.00,0.00,0,7195.01,3597.50,1,1,1.00,1.00,8.88
1119,039023,0,0,0,1,34,0,0,0,1,1,1.00,5576.77,4712.36,864.41,0.00,0.00,0,5608.45,5608.45,1,1,1.00,1.00,8.63
1120,039024,2,1,0,1,30,0,0,3,1,4,4.00,9993.07,9993.07,0.00,0.00,0.00,0,9993.07,2498.27,1,1,1.00,0.00,9.21
1121,039025,1,5,5,1,48,1,0,4,2,5,2.50,10569.80,10322.63,247.17,0.00,0.00,0,13090.34,2618.07,1,1,1.00,1.00,9.48
1122,039026,0,1,4,2,59,1,0,3,5,7,1.40,10572.66,10572.66,0.00,0.00,0.00,1,13597.31,1942.47,1,0,1.00,1.00,9.52
1123,039027,0,1,1,2,46,0,0,0,1,2,2.00,4419.20,4391.30,0.00,0.00,0.00,1,6435.64,3217.82,1,0,1.00,1.00,8.77
1124,039028,0,2,3,1,48,2,0,3,3,7,2.33,11977.04,7960.55,4016.50,0.00,0.00,1,15001.69,2143.10,1,0,1.00,1.00,9.62
1125,039030,0,1,1,1,54,0,0,0,1,1,1.00,3800.81,2330.83,1469.98,0.00,0.00,1,5699.71,5699.71,1,0,1.00,0.00,8.65
1126,039031,1,2,2,0,82,0,0,1,1,2,2.00,9993.07,0.00,0.00,9993.07,0.00,1,10699.04,5349.52,1,0,1.00,1.00,9.28
1127,039032,0,0,1,2,60,0,0,0,2,3,1.50,14236.95,5161.31,0.00,9075.64,0.00,1,18270.57,6090.19,1,0,1.00,1.00,9.81
1128,039033,0,0,1,3,56,0,0,0,6,4,0.67,45468.45,41970.88,0.00,3497.57,0.00,1,50509.53,12627.38,1,0,1.00,1.00,10.83
1129,039034,0,0,0,1,55,0,0,0,3,2,0.67,9693.27,6395.56,0.00,3297.71,0.00,1,12717.92,6358.96,1,0,1.00,1.00,9.45
1130,039035,0,2,2,2,49,0,0,1,3,4,1.33,24646.37,8993.76,0.00,15652.61,0.00,1,34728.54,8682.14,1,0,1.00,1.00,10.46
1131,041001,0,0,0,1,38,0,0,1,2,3,1.50,21396.01,21295.73,0.00,0.00,100.28,1,22393.27,7464.42,0,0,1.00,1.00,10.02
1132,041002,0,3,0,2,28,0,0,1,2,4,2.00,6747.79,6747.79,0.00,0.00,0.00,1,6747.79,1686.95,1,0,1.00,1.00,8.82
1133,041003,1,0,0,1,39,0,0,0,2,2,1.00,11047.51,9149.93,1001.33,0.00,896.25,1,11728.75,5864.38,1,0,1.00,1.00,9.37
1134,041004,0,0,4,1,49,1,0,0,3,4,1.33,3299.44,0.00,666.43,0.00,2633.01,1,4196.97,1049.24,1,0,1.00,0.00,8.34
1135,041005,1,0,4,1,32,1,0,0,2,4,2.00,2457.69,0.00,1995.44,0.00,462.25,1,2956.32,739.08,1,0,1.00,1.00,7.99
1136,041006,0,0,5,1,37,0,0,4,2,5,2.50,14462.08,9068.08,5394.00,0.00,0.00,1,15271.46,3054.29,1,0,1.00,0.00,9.63
1137,041007,2,1,1,1,64,0,0,1,2,2,1.00,4121.41,0.00,3921.15,0.00,200.27,1,5181.83,2590.92,1,0,1.00,0.00,8.55
1138,041008,3,0,5,2,22,1,1,0,1,6,6.00,4833.31,3805.07,0.00,0.00,1028.24,1,5132.49,855.41,1,0,1.00,0.00,8.54
1139,041009,0,0,4,2,31,2,0,1,1,4,4.00,3689.61,3204.45,99.83,0.00,385.33,1,3699.40,924.85,0,0,0.00,0.00,8.22
1140,041010,1,0,0,0,95,0,0,0,1,1,1.00,1860.20,0.00,0.00,0.00,1860.20,1,1959.80,1959.80,1,0,1.00,0.00,7.58
1141,041011,0,0,0,2,34,0,0,1,2,3,1.50,8822.90,8811.74,0.00,0.00,0.00,0,9321.53,3107.18,1,1,1.00,1.00,9.14
1142,041012,0,0,0,1,46,0,0,2,2,3,1.50,5474.20,5474.20,0.00,0.00,0.00,0,6670.91,2223.64,1,1,1.00,1.00,8.81
1143,041013,0,1,0,2,28,0,0,1,2,3,1.50,12024.38,12014.61,0.00,0.00,0.00,0,11525.09,3841.70,1,1,1.00,1.00,9.35
1144,041014,0,0,0,1,49,1,0,1,2,3,1.50,11515.34,8010.67,0.00,3504.67,0.00,0,11515.34,3838.45,1,1,1.00,1.00,9.35
1145,041015,0,0,0,3,50,0,0,0,2,4,2.00,26520.81,26103.13,375.82,0.00,0.00,0,27518.07,6879.52,1,1,1.00,1.00,10.22
1146,041016,0,0,1,0,25,0,0,1,1,2,2.00,7510.01,0.00,0.00,0.00,7510.01,0,7510.01,3755.00,1,1,1.00,1.00,8.92
1147,041017,0,0,0,1,36,2,0,3,2,4,2.00,3338.12,3338.12,0.00,0.00,0.00,0,4235.65,1058.91,1,1,1.00,1.00,8.35
1148,041018,2,0,1,2,48,1,0,2,1,5,5.00,4906.66,4906.66,0.00,0.00,0.00,0,5604.74,1120.95,1,1,1.00,0.00,8.63
1149,041019,0,0,0,2,28,1,0,1,2,3,1.50,15688.72,9012.01,6676.72,0.00,0.00,0,15688.72,5229.57,1,1,1.00,1.00,9.66
1150,041020,0,0,1,1,39,1,0,2,2,3,1.50,6542.53,6542.53,0.00,0.00,0.00,0,8038.42,2679.47,1,1,1.00,1.00,8.99
1151,041022,0,0,0,1,45,0,0,3,2,4,2.00,4606.06,0.00,0.00,0.00,4606.06,0,7597.84,1899.46,1,1,1.00,1.00,8.94
1152,041023,0,1,1,1,42,0,0,0,2,1,0.50,4673.09,4673.09,0.00,0.00,0.00,0,9659.39,9659.39,1,1,1.00,1.00,9.18
1153,041025,0,0,0,1,60,0,0,0,2,2,1.00,58077.38,26034.69,0.00,0.00,32042.69,0,63524.39,31762.19,1,1,1.00,1.00,11.06
1154,041026,1,0,0,2,24,0,0,1,2,4,2.00,12747.19,11946.13,801.07,0.00,0.00,1,13544.74,3386.18,1,0,1.00,1.00,9.51
1155,041027,2,0,4,1,37,2,0,3,1,4,4.00,2403.20,2403.20,0.00,0.00,0.00,1,2602.66,650.66,1,0,1.00,1.00,7.86
1156,041028,1,0,2,1,57,0,0,1,1,2,2.00,1326.51,801.07,0.00,0.00,525.45,1,1924.87,962.43,1,0,0.00,0.00,7.56
1157,041029,2,1,1,2,75,0,0,0,1,2,2.00,1903.56,0.00,1007.32,0.00,896.25,1,2701.37,1350.69,1,0,1.00,1.00,7.90
1158,041030,1,0,0,1,71,0,0,0,1,1,1.00,1063.62,0.00,128.17,0.00,935.45,1,1163.34,1163.34,0,0,0.00,0.00,7.06
1159,041031,0,0,1,2,30,1,0,2,2,5,2.50,13851.34,8094.03,5757.31,0.00,0.00,0,13642.18,2728.44,1,1,1.00,1.00,9.52
1160,041032,3,7,9,5,72,2,0,2,2,10,5.00,15733.78,10347.46,4920.76,0.00,465.57,0,18483.25,1848.32,1,1,1.00,1.00,9.82
1161,041033,0,0,0,1,33,1,0,3,1,4,4.00,9012.01,8411.21,0.00,600.80,0.00,0,9809.81,2452.45,0,1,0.00,0.00,9.19
1162,041034,2,0,2,2,46,0,0,0,1,2,2.00,4361.00,1802.40,2162.88,0.00,395.72,0,5253.84,2626.92,1,1,1.00,0.00,8.57
1163,041035,2,0,4,1,20,0,0,1,1,4,4.00,4148.65,2883.84,1001.33,0.00,263.48,0,4048.79,1012.20,1,1,0.00,0.00,8.31
1164,041036,1,1,4,2,36,1,0,0,1,4,4.00,4614.98,2042.72,2058.74,0.00,513.52,1,5747.87,1436.97,1,0,0.00,0.00,8.66
1165,041037,1,0,5,2,38,2,0,0,1,5,5.00,8222.21,2403.20,4786.38,0.00,1032.64,1,9152.99,1830.60,1,0,0.00,0.00,9.12
1166,041038,1,3,3,2,32,0,0,0,2,3,1.50,584.47,0.00,334.26,0.00,250.21,1,1477.08,492.36,0,0,0.00,0.00,7.30
1167,041039,2,0,3,2,38,0,0,1,1,3,3.00,3663.54,1686.90,1976.63,0.00,0.00,1,4248.60,1416.20,1,0,0.00,0.00,8.35
1168,041040,3,3,4,4,70,1,0,0,2,4,2.00,6800.69,1927.59,3606.81,0.00,1266.30,1,8796.71,2199.18,1,0,0.00,0.00,9.08
1169,041041,1,0,5,4,46,2,0,1,2,5,2.50,4922.83,0.00,2285.04,0.00,2637.79,1,5536.75,1107.35,1,0,0.00,0.00,8.62
1170,041042,4,2,3,4,70,0,0,0,2,4,2.00,5371.68,0.00,4620.49,0.00,751.18,1,8554.50,2138.62,1,0,0.00,0.00,9.05
1171,041043,4,2,4,3,75,0,0,0,3,4,1.33,14096.24,0.00,13862.47,0.00,233.77,1,15459.16,3864.79,1,0,0.00,0.00,9.65
1172,041044,3,2,9,7,48,2,0,1,1,9,9.00,19293.55,15733.21,3032.73,0.00,527.61,1,20939.03,2326.56,1,0,0.00,0.00,9.95
1173,041045,0,0,5,4,42,0,0,1,1,5,5.00,2922.72,1352.43,1174.56,0.00,395.72,1,4550.47,910.09,1,0,0.00,0.00,8.42
1174,041046,0,0,4,2,33,1,0,0,2,4,2.00,1876.79,0.00,1221.63,0.00,655.17,1,3585.43,896.36,1,0,0.00,0.00,8.18
1175,042001,0,0,5,2,39,1,0,0,2,5,2.50,3705.86,2502.42,116.51,0.00,1086.93,1,5369.42,1073.88,1,0,1.00,1.00,8.59
1176,042002,1,0,0,1,69,0,0,0,1,2,2.00,7732.77,0.00,297.58,0.00,7435.19,1,8236.40,4118.20,0,0,1.00,1.00,9.02
1177,042003,0,0,0,2,34,0,0,1,2,3,1.50,52001.48,50998.40,835.65,0.00,0.00,1,50990.38,16996.79,1,0,1.00,1.00,10.84
1178,042004,2,0,5,3,48,1,0,0,2,5,2.50,4039.28,150.15,3889.14,0.00,0.00,1,5047.50,1009.50,1,0,1.00,0.00,8.53
1179,042005,0,0,5,3,49,1,0,0,3,7,2.33,15489.98,14439.86,731.99,0.00,318.14,1,17902.69,2557.53,1,0,1.00,1.00,9.79
1180,042006,1,3,3,1,66,1,0,0,1,4,4.00,6546.33,1441.39,0.00,0.00,5104.94,0,7453.73,1863.43,1,1,1.00,0.00,8.92
1181,042007,0,0,2,1,40,0,0,0,1,2,2.00,3155.71,0.00,353.00,0.00,2802.71,0,3120.39,1560.20,1,1,1.00,0.00,8.05
1182,042008,0,0,1,1,25,2,0,3,1,4,4.00,3404.26,3404.26,0.00,0.00,0.00,0,3303.34,825.83,1,1,1.00,1.00,8.10
1183,042009,0,0,0,2,47,0,0,0,2,3,1.50,16201.83,9094.96,0.00,0.00,7106.88,0,16000.00,5333.33,1,1,1.00,1.00,9.68
1184,042010,2,0,4,1,35,0,0,1,1,5,5.00,4405.47,4255.32,0.00,0.00,150.15,0,4405.47,1101.37,1,1,1.00,0.00,8.39
1185,042010,1,0,1,1,68,0,0,0,1,5,5.00,2059.05,1801.74,0.00,0.00,257.30,0,2492.11,2492.11,1,1,1.00,0.00,7.82
